Shadertoy ID,Shader Autor,Shader Name,Category,Fuse Name,Ported by,Issue
"WlSGzy","TekF","LearningReactionDiffusion","Recursive","LearningReactionDiffusion","JiPi","macOS_OpenCL compatibility not checked"
"MsGSRd","flockaroo","spilled","Recursive","Spilled","JiPi",""
"4dBSDV","bytewave","The dark side of the moon","Recursive","TDSOTM_Nebula","JiPi",""
"XldSz7","gaz","Vine","Recursive","Vine","JiPi",""
"ttyGzW","tmst","Alexander horned sphere zoom","ShaderOfTheWeek","AlexanderHornedSphereZoom","JiPi","macOS_OpenCL compatibility: ... nope, does not crash but still looks not as expected :-/"
"7tfyRl","byt3_m3chanic","Audio Flight v2 (strobes)","ShaderOfTheWeek","AudioFlightv2","JiPi","macOS_Metal compatibility not checked"
"ss3SD8","0b5vr","20210930_CLUB-CAVE-09","ShaderOfTheWeek","ClubCave09","JiPi",""
"fstyD4","bitless","Coastal Landscape","ShaderOfTheWeek","CoastalLandscape","JiPi","macOS_Metal compatibility not checked"
"7tfBzs","sinvec","Color processing","ShaderOfTheWeek","ColorProcessing","JiPi","macOS_OpenCL compatibility not checked"
"fsXyDj","dr2","Controllable Machinery","ShaderOfTheWeek","ControllableMachinery","JiPi","macOS_Metal compatibility not checked"
"fldXWS","Tater","Cubic Dispersal","ShaderOfTheWeek","CubicDispersal","JiPi","macOS_OpenCL compatibility not checked"
"wlVSDK","BigWIngs","DangerNoodle","ShaderOfTheWeek","DangerNoodle","JiPi","macOS_OpenCL compatibility not checked"
"tdXcWM","jeyko","Day94","ShaderOfTheWeek","Day94","JiPi",""
"csjGDD","Kali","[Inércia 2022] Energetic Flyby","ShaderOfTheWeek","Energeticflyby","JiPi","macOS_Metal compatibility not checked"
"NlsXDH","Kali","Exit the Matrix","ShaderOfTheWeek","ExitTheMatrix","JiPi","macOS_Metal compatibility: 💣 *`radians` unknown*"
"4s3SRN","Shane","FractalFlythrough","ShaderOfTheWeek","FractalFlythrough","JiPi",""
"ftGGDR","AntoineC","Fractal Gliding","ShaderOfTheWeek","FractalGliding","JiPi","macOS_Metal compatibility: 💣💣💣 *Fusion crashes*"
"Xls3D2","Dave_Hoskins","Frozen wasteland","ShaderOfTheWeek","FrozenWasteland","JiPi","macOS_Metal compatibility not checked"
"wdScRd","julianlumia","Futuristic Tunnel","ShaderOfTheWeek","FuturisticTunnel","JiPi","macOS_OpenCL compatibility not checked"
"mds3DX","morisil","generative art deco 4","ShaderOfTheWeek","GenerativeArtDeco4","JiPi","macOS_Metal compatibility not checked"
"7tcGWB","Tater","HyperDough","ShaderOfTheWeek","HyperDough","JiPi","macOS_OpenCL compatibility not checked"
"fdjfDc","ChunderFPV","Jeweled Vortex","ShaderOfTheWeek","JeweledVortex","JiPi","macOS_Metal compatibility not checked"
"fsjyR3","wyatt","Lover","ShaderOfTheWeek","Lover","JiPi","macOS_Metal compatibility not checked"
"tdyBR1","gaz","Night circuit","ShaderOfTheWeek","NightCircuit","JiPi","macOS_Metal compatibility not checked"
"wtlXRH","jackdavenport","NintendoSwitch","ShaderOfTheWeek","NintendoSwitch","JiPi","Fuse.Version must be v<MAJOR>.<MINOR>.<PATCH>"
